# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 209.3358357; 159.4284175; -3.1046437; -0.0064643; 20.0000000; 0.0000000
1.9962999; 209.3975820; 157.4324151; -3.1162609; -0.0051707; 20.0000000; 0.0000000
3.9925998; 209.4386833; 155.4366173; -3.1253521; -0.0039964; 20.0000000; 0.0000000
5.9888996; 209.4638435; 153.4410730; -3.1322620; -0.0029283; 20.0000000; 0.0000000
7.9851995; 209.4772117; 151.4448807; -3.1372399; -0.0020572; 20.0000000; 0.0000000
9.9814994; 209.4821913; 149.4489387; -3.1410267; -0.0022493; 20.0000000; 0.0000000
11.9777993; 209.4780586; 147.4522783; 3.1364975; -0.0034239; 20.0000000; 0.0000000
13.9740992; 209.4602037; 145.4565040; 3.1283622; -0.0047268; 20.0000000; 0.0000000
15.9703990; 209.4235238; 143.4605686; 3.1176587; -0.0059730; 20.0000000; 0.0000000
17.9666989; 209.3630377; 141.4647431; 3.1045330; -0.0071740; 20.0000000; 0.0000000
19.9629988; 209.2740016; 139.4707544; 3.0890035; -0.0083870; 20.0000000; 0.0000000
21.9592987; 209.1515714; 137.4781604; 3.0710449; -0.0096070; 20.0000000; 0.0000000
23.9555986; 208.9909321; 135.4881161; 3.0506376; -0.0108366; 20.0000000; 0.0000000
25.9518985; 208.7873112; 133.5023668; 3.0277656; -0.0120813; 20.0000000; 0.0000000
27.9481983; 208.5358430; 131.5219672; 3.0024003; -0.0133266; 20.0000000; 0.0000000
29.9444982; 208.2317807; 129.5489609; 2.9745544; -0.0145738; 20.0000000; 0.0000000
31.9407981; 207.8703921; 127.5856172; 2.9441221; -0.0159204; 20.0000000; -2.1702912
33.9370980; 207.4468749; 125.6349595; 2.9110874; -0.0170739; 19.7821863; -5.5266754
35.9333979; 206.9571372; 123.6997494; 2.8760541; -0.0181551; 19.2163756; -3.9941972
37.9296977; 206.3951042; 121.7839060; 2.8347154; -0.0232837; 18.7968578; -2.7030757
39.9259976; 205.7448220; 119.8964733; 2.7833939; -0.0277670; 18.5075542; -1.7061021
41.9222975; 204.9913994; 118.0487676; 2.7241703; -0.0312874; 18.3226030; -1.4701492
43.9185974; 204.1279678; 116.2480836; 2.6663103; -0.0267051; 18.1617197; -3.2920678
45.9148973; 203.1687647; 114.4954408; 2.6159170; -0.0249230; 17.7961837; -4.2802270
47.9111971; 202.1255961; 112.7966532; 2.5656685; -0.0255474; 17.3093882; -4.5063636
49.9074970; 200.9953647; 111.1507044; 2.5138166; -0.0262876; 16.7816213; -3.4691212
51.9037969; 199.7792654; 109.5667867; 2.4576288; -0.0324837; 16.3637404; -0.7927968
53.9000968; 198.4638544; 108.0672207; 2.3816901; -0.0429792; 16.2667354; -0.1649675
55.8963967; 197.0269150; 106.6819249; 2.2932767; -0.0454635; 16.2464775; -0.1649675
57.8926966; 195.4711498; 105.4303887; 2.2052276; -0.0402464; 16.2261943; 1.2390043
59.8889964; 193.8201509; 104.3082021; 2.1326955; -0.0337721; 16.3779190; 2.7734540
61.8852963; 192.0960110; 103.3021340; 2.0653768; -0.0336103; 16.7125558; 2.4377513
63.8815962; 190.3096706; 102.4143271; 1.9989934; -0.0327606; 17.0012496; 2.3501401
65.8778961; 188.4694097; 101.6449930; 1.9349413; -0.0317223; 17.2750009; 2.3467317
67.8741960; 186.5827456; 100.9935678; 1.8715211; -0.0318897; 17.5440935; 1.9921297
69.8704958; 184.6577703; 100.4627284; 1.8085267; -0.0310805; 17.7693273; 1.9890090
71.8667957; 182.7044914; 100.0524956; 1.7474108; -0.0301267; 17.9913955; 2.0459673
73.8630956; 180.7307216; 99.7604977; 1.6882379; -0.0292080; 18.2169986; 2.0996634
75.8593955; 178.7420872; 99.5839922; 1.6306494; -0.0284742; 18.4456541; 2.0992114
77.8556954; 176.7473458; 99.5208217; 1.5744489; -0.0278872; 18.6714613; 2.0599686
79.8519952; 174.7521944; 99.5687276; 1.5192934; -0.0274194; 18.8904234; -0.2770800
81.8482951; 172.7623315; 99.7258103; 1.4648314; -0.0271542; 18.8611194; -2.5111272
83.8445950; 170.7846868; 99.9902545; 1.4110727; -0.0266705; 18.5934370; -2.9662739
85.8408949; 168.8254627; 100.3593552; 1.3578072; -0.0276824; 18.2721853; -2.3822630
87.8371948; 166.8843870; 100.8376633; 1.2997277; -0.0302763; 18.0100342; -0.5916827
