# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 115.3019612; -2.5317566; -0.0404125; 0.0070140; 20.0000000; 0.0000000
1.9943087; 115.3694053; -0.5380146; -0.0276163; 0.0058146; 20.0000000; 0.0000000
3.9886175; 115.4137289; 1.4557543; -0.0172774; 0.0044941; 20.0000000; 0.0000000
5.9829262; 115.4402013; 3.4493428; -0.0097605; 0.0030418; 20.0000000; 0.0000000
7.9772350; 115.4547357; 5.4438176; -0.0053748; 0.0013543; 20.0000000; 0.0000000
9.9715437; 115.4636122; 7.4378193; -0.0035772; 0.0011809; 20.0000000; 0.0000000
11.9658525; 115.4675764; 9.4321507; 0.0000134; 0.0024272; 20.0000000; 0.0000000
13.9601612; 115.4616985; 11.4260276; 0.0063962; 0.0039730; 20.0000000; 0.0000000
15.9544700; 115.4400511; 13.4200598; 0.0157811; 0.0053794; 20.0000000; 0.0000000
17.9487787; 115.3970129; 15.4144409; 0.0278010; 0.0066737; 20.0000000; 0.0000000
19.9430875; 115.3274170; 17.4071591; 0.0424773; 0.0080473; 20.0000000; 0.0000000
21.9373962; 115.2258230; 19.3989740; 0.0599113; 0.0094469; 20.0000000; 0.0000000
23.9317050; 115.0867044; 21.3886655; 0.0801749; 0.0108729; 20.0000000; 0.0000000
25.9260137; 114.9045042; 23.3745185; 0.1032888; 0.0123105; 20.0000000; 0.0000000
27.9203224; 114.6735799; 25.3555051; 0.1292861; 0.0137603; 20.0000000; 0.0000000
29.9146312; 114.3884059; 27.3292143; 0.1581886; 0.0152278; 20.0000000; 0.0000000
31.9089399; 114.0433940; 29.2935835; 0.1900252; 0.0167028; 20.0000000; -3.4510788
33.9032487; 113.6331564; 31.2453171; 0.2248079; 0.0181561; 19.6528615; -5.0381245
35.8975574; 113.1526575; 33.1803971; 0.2624491; 0.0196393; 19.1347802; -4.5917523
37.8918662; 112.5961046; 35.0957223; 0.3038931; 0.0219238; 18.6500689; -4.2159947
39.8861749; 111.9564383; 36.9846762; 0.3498703; 0.0241410; 18.1936550; -3.8753742
41.8804837; 111.2268355; 38.8400151; 0.4002108; 0.0263724; 17.7637748; -3.5111406
43.8747924; 110.4000550; 40.6556912; 0.4551882; 0.0287760; 17.3651116; -3.3632643
45.8691012; 109.4709563; 42.4202077; 0.5147212; 0.0305999; 16.9744610; -3.3577919
47.8634099; 108.4366671; 44.1238072; 0.5769797; 0.0319144; 16.5752640; -3.2542692
49.8577187; 107.2945495; 45.7596999; 0.6427085; 0.0340363; 16.1789784; -1.8379078
51.8520274; 106.0433760; 47.3133973; 0.7154825; 0.0405658; 15.9508191; -0.1586225
53.8463361; 104.6725083; 48.7585448; 0.8053938; 0.0472821; 15.9309744; -0.1586225
55.8406449; 103.1751467; 50.0770378; 0.8885907; 0.0362084; 15.9111050; 2.6751476
57.8349536; 101.5832183; 51.2835300; 0.9549934; 0.0325517; 16.2429493; 3.2468686
59.8292624; 99.9218520; 52.3802153; 1.0195255; 0.0316718; 16.6368242; 3.0607571
61.8235711; 98.1931242; 53.3723294; 1.0786785; 0.0275351; 16.9997679; 3.8619491
63.8178799; 96.4125299; 54.2654276; 1.1337825; 0.0288552; 17.4469466; 3.0263354
65.8121886; 94.5828046; 55.0552407; 1.1935310; 0.0310257; 17.7895149; 1.9836001
67.8064974; 92.7053149; 55.7311663; 1.2576866; 0.0333202; 18.0105153; 0.9888854
69.8008061; 90.7882818; 56.2824656; 1.3236905; 0.0328932; 18.1196840; 0.9952013
71.7951149; 88.8376946; 56.7072742; 1.3884355; 0.0311820; 18.2288899; 1.4307899
73.7894236; 86.8684888; 57.0094927; 1.4476332; 0.0283209; 18.3847573; 2.2163219
75.7837323; 84.8828378; 57.2002903; 1.5014603; 0.0255837; 18.6236237; 2.9097859
77.7780411; 82.8922140; 57.2888385; 1.5509950; 0.0246187; 18.9326539; -0.6748400
79.7723498; 80.9003514; 57.2797357; 1.5997945; 0.0250350; 18.8614343; -2.8237753
81.7666586; 78.9079704; 57.1705443; 1.6520390; 0.0272621; 18.5604619; -2.3790320
83.7609673; 76.9281189; 56.9537387; 1.7083876; 0.0293442; 18.3030515; -2.1071684
85.7552761; 74.9610337; 56.6210594; 1.7687937; 0.0309156; 18.0719951; -2.0013244
87.7495848; 73.0176622; 56.1675626; 1.8317205; 0.0320067; 17.8497756; -1.9463309
89.7438936; 71.1087116; 55.5923606; 1.8950535; 0.0315540; 17.6309762; -2.3631529
91.7382023; 69.2402391; 54.8981651; 1.9581674; 0.0319900; 17.3616130; -2.5188781
93.7325111; 67.4199311; 54.0864015; 2.0225551; 0.0324259; 17.0698203; -2.6617402
95.7268198; 65.6549012; 53.1586335; 2.0867440; 0.0318592; 16.7559572; -1.6052480
97.7211286; 63.9544233; 52.1183256; 2.1553988; 0.0385124; 16.5637973; -0.1710482
99.7154373; 62.3371040; 50.9492383; 2.2400247; 0.0438473; 16.5431900; -0.1710482
101.7097460; 60.8280814; 49.6457911; 2.3259217; 0.0423043; 16.5225570; 0.2805272
103.7040548; 59.4338412; 48.2224463; 2.4052060; 0.0368653; 16.5563826; 1.7233834
105.6983635; 58.1470863; 46.6991493; 2.4737884; 0.0329246; 16.7626884; 2.5729739
107.6926723; 56.9627825; 45.0933898; 2.5379288; 0.0313716; 17.0660579; 2.6809736
109.6869810; 55.8822405; 43.4194399; 2.5980095; 0.0289145; 17.3765276; 3.0807288
111.6812898; 54.8990555; 41.6842077; 2.6535348; 0.0269910; 17.7265778; 3.3221661
