# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 208.5522600; 266.4682378; -0.0404126; 0.0070141; 20.0000000; 0.0000000
1.9943095; 208.6197044; 268.4619805; -0.0276165; 0.0058146; 20.0000000; 0.0000000
3.9886189; 208.6640284; 270.4557500; -0.0172775; 0.0044941; 20.0000000; 0.0000000
5.9829284; 208.6905010; 272.4493393; -0.0097606; 0.0030418; 20.0000000; 0.0000000
7.9772378; 208.7050356; 274.4438148; -0.0053749; 0.0013543; 20.0000000; 0.0000000
9.9715473; 208.7139122; 276.4378172; -0.0035773; 0.0011809; 20.0000000; 0.0000000
11.9658567; 208.7178764; 278.4321493; 0.0000135; 0.0024272; 20.0000000; 0.0000000
13.9601662; 208.7119983; 280.4260269; 0.0063964; 0.0039730; 20.0000000; 0.0000000
15.9544756; 208.6903505; 282.4200598; 0.0157813; 0.0053794; 20.0000000; 0.0000000
17.9487851; 208.6473119; 284.4144416; 0.0278012; 0.0066737; 20.0000000; 0.0000000
19.9430945; 208.5777156; 286.4071605; 0.0424775; 0.0080473; 20.0000000; 0.0000000
21.9374040; 208.4761210; 288.3989760; 0.0599116; 0.0094469; 20.0000000; 0.0000000
23.9317134; 208.3370018; 290.3886682; 0.0801752; 0.0108729; 20.0000000; 0.0000000
25.9260229; 208.1548010; 292.3745219; 0.1032890; 0.0123105; 20.0000000; 0.0000000
27.9203323; 207.9238761; 294.3555091; 0.1292864; 0.0137602; 20.0000000; 0.0000000
29.9146418; 207.6387016; 296.3292190; 0.1581888; 0.0152278; 20.0000000; 0.0000000
31.9089512; 207.2936892; 298.2935888; 0.1900253; 0.0167028; 20.0000000; -3.4509945
33.9032607; 206.8834512; 300.2453230; 0.2248080; 0.0181560; 19.6528700; -5.0381368
35.8975701; 206.4029521; 302.1804037; 0.2624491; 0.0196392; 19.1347874; -4.5917672
37.8918796; 205.8463991; 304.0957297; 0.3038930; 0.0219237; 18.6500746; -4.2160118
